Batch,Sample,Site,Date,Total Reads,Ostrich Reads,Ostrich %
JVB3759,D8F0GB5R.1,,,43988,0,0.0
JVB3787,4JSG0AYS.1,,,25667,0,0.0
JVB3787,5K41GBHR.1,,,31167,0,0.0
JVB3787,C42JWLMM.1,,,26450,0,0.0
JVB3787,F5LP8C1M.1,,,41897,0,0.0
JVB3787,L08BN6EZ.1,,,30135,0,0.0
JVB3787,OTLHJZBA.1,,,34956,0,0.0
JVB3787,TYKBU74R.1,,,22714,0,0.0
JVB3787,UG79PNJS.1,,,28939,0,0.0
JVB3787,UH7L508D.1,,,34657,0,0.0
JVB3787,WRMXR4RT.1,,,21086,0,0.0
JVB3988,B5OWY48H.1,Beaver Dam Stream / Rt 9,9/2/2024 5:12:51 AM,8562,0,0.0
JVB3988,FYREF4C4.1,,,27180,0,0.0
JVB3988,O5S2DTMM.1,,,10685,0,0.0
JVB3988,VD2H2Z3Q.1,,,18964,0,0.0
JVB3988,ZAGSQ1TX.1,,,26198,0,0.0
JVB4279,S100177.1,,,90801,0,0.0
JVB4307,1YI0M1VI.1,Red Brook Road Pool Low Tide,9/18/2024 1:46:28 AM,111921,0,0.0
JVB4307,HJ7HM41U.1,Ellsworth Dam,9/17/2024 1:35:59 AM,93766,0,0.0
JVB4307,KJ4Q9P3R.1,Rooster Bros  Rt 1 Ellsworth,9/17/2024 1:22:45 AM,91807,0,0.0
JVB4307,NVHY6MNK.1,Machias River Above Falls,9/12/2024 11:28:34 PM,94604,0,0.0
JVB4307,NVN8LUTP.1,Cat Brook Loading Place / Forest Lm,10/14/2024 11:54:10 PM,90249,0,0.0
JVB4307,SUJI1BGP.1,100 m above dam,9/17/2024 1:45:05 AM,85773,0,0.0
JVB4307,X3L71IPP.1,CohassetnNarrows nridge,9/18/2024 1:07:14 AM,66898,0,0.0
JVB4678,OC41MHKC.1,Second pond  MBTS,10/15/2024 0:14,46773,12925,27.6
JVB4678,UTEVR3WT.1,Sawmill  Brook / School St,3/18/2025 8:23,32982,9758,29.6
JVB4678,ZVYQK9TP.1,Lower Rd. Brewster MA,9/20/2024 3:38,71511,9373,13.1
JVB4678,0VKQUDZE.1,Orange River,3/14/2025 1:50,48774,9053,18.6
JVB4678,LZAC7T2X.1,Sawmill Brook Elm street,3/18/2025 8:36,25611,5965,23.3
JVB4846,EYNRUYTO.1,Orange River,5/7/2025 1:59,77060,21835,28.3
JVB4846,AEFBOYWK.1,MBTS # 3,4/12/2025 2:33,43079,20916,48.6
JVB4846,DAZWXP7N.1,Orange River,3/28/2025 3:49,58546,20578,35.1
JVB4846,2EZ4FTGP.1,Orange River orange bucket,4/21/2025 2:59,61761,14713,23.8
JVB4846,ASOMDVAL.1,Union River Bridge,5/3/2025 4:04,70963,14327,20.2
JVB4981,8UCIL5TX.1,Orange River Bkack Fly Saeason,5/14/2025 3:50,68629,13329,19.4
JVB4981,2KL87R0I.1,Sawmill at Atwater site,6/8/2025 9:07,23627,12482,52.8
JVB4981,I866I93J.1,,,34724,11324,32.6
JVB4981,K0RLUFS0.1,Union River Rooster Bros 3 Syringes,5/31/2025 8:35,72028,10386,14.4
JVB4981,TYQXSAUN.1,Union River Rooster Brothers,5/31/2025 8:38,50811,9141,18.0
JVB4981,HVFHCKJQ.1,Proctor Point Dock MBTS,6/5/2025 9:35,56491,8359,14.8
JVB4981,KXUG2Y6J.1,Below Lincoln Pool,6/5/2025 5:28,54503,7707,14.1
JVB4981,099SCA28.1,Mashpee River,6/7/2025 10:43,66297,5180,7.8
JVB4981,UYP2KYQ6.1,Union River Rooster Bros,5/21/2025 6:18,52901,1838,3.5
JVB5403,ZLQM1TH7.1,50 ft Meatball @ Gardner Lake,8/5/2025 5:34:34 AM,84982,25291,29.8
JVB5403,B77DD40T.1,Northern Inlet,7/28/2025 1:26:40 AM,74933,9108,12.2
JVB5403,49ZA9JIJ.1,Orange River,6/18/2025 4:36:12 AM,76263,6779,8.9
JVB5403,A5BU49PD.1,East Machias at Rt 9,7/28/2025 1:30:00 AM,57546,2186,3.8
JVB5776,CSWEE3DX.1,McCoy Brook,11/11/2025 12:56:00 PM,84780,42451,50.1
JVB5776,CNR7WZYJ.1,UNT Lane Rd Deblois,11/11/2025 12:56:00 PM,67309,30931,46.0
JVB5776,C4SUMTFY.1,lower golf course / Sawmill Brook,11/22/2025 9:39:00 AM,84215,25840,30.7
JVB5776,CDWD42KP.1,below school st,11/22/2025 11:45:00 AM,96223,17982,18.7
JVB5776,CVVU52A9.1,,,75157,17263,23.0
JVB5776,CY92PPTX.1,West Branch,11/11/2025 12:56:00 PM,78786,10055,12.8
JVB5776,CA66THTZ.1,,,76934,8347,10.8
JVB5776,CNTLVPX4.1,Crotch Camp Creek,11/11/2025 12:56:00 PM,85958,7552,8.8
JVB5776,4JKGTSJ5.1,Unknown,11/11/2025 12:56:00 PM,93377,2381,2.5
